UniqueCount	AmbigCount
3991	0
2002	0
754	0
14	0
0	0
1129	0
37	0
951	0
919	0
1492	0
4568	0
0	0
44	0
15	0
585	0
84	0
1062	0
3608	15
3392	0
153	0
1	0
6	0
28	6
383	0
1267	0
715	0
904	0
753	0
73	0
0	0
18	0
2127	0
455	0
411	0
0	0
517	0
1961	0
581	0
1758	0
244	0
2	0
0	3
128	0
1266	0
0	0
1	0
64	0
656	0
6	0
394	0
255	0
477	0
30	0
4227	0
24	0
0	0
0	0
434	0
13	0
469	0
2359	4
23	0
47	0
242	0
843	0
358	0
5709	0
0	0
0	0
6703	0
1721	0
3328	0
638	0
794	0
1214	0
486	0
934	0
8992	0
1026	0
971	0
89	0
401	0
199	0
312	0
458	0
1044	0
3645	0
732	0
0	0
47	0
358	0
26	0
214	0
588	0
183	0
622	0
231	0
1118	0
528	0
7	0
19	0
425	0
856	5087
470	0
1437	0
773	0
247	0
363	0
639	0
265	0
395	0
117	0
424	0
369	0
503	5087
2739	0
0	469
68	269
3821	469
0	269
577	0
527	0
5654	0
701	0
298	0
1526	0
20	0
529	0
582	0
19423	0
488	0
268	0
295	0
113	0
217	31
65	0
3448	0
14	0
103	0
1256	0
3	1
0	0
0	0
12	86
3308	0
707	0
4587	0
284	0
97	0
300	0
271	0
45	0
59	0
0	0
8	0
968	0
0	0
0	0
107	107
0	0
24	0
599	0
1659	0
187	284
671	0
297	0
916	0
414	0
736	0
334	0
799	0
2187	0
814	0
1110	0
413	0
451	0
10	6
3097	0
681	0
1686	0
5187	0
348	0
838	0
1358	0
2706	0
1452	0
1	0
29	0
131	0
158	0
1587	0
851	0
1152	0
118	0
1549	0
7	0
0	0
125	0
29	0
0	0
0	0
916	0
77	0
34	0
538	0
255	0
1367	191
2057	0
3499	0
1724	0
4567	0
20945	0
0	0
1166	0
7256	0
507	0
459	0
36	0
0	0
0	0
121	0
0	0
58	0
18	0
1487	0
63	0
85	0
703	0
2196	0
203	0
601	0
0	0
