Name	Length	EffectiveLength	TPM	NumReads
Anogam_AGAP004677-RA	1227	931.217	184.857619	3762.000000
Anogam_AGAP004678-RA	1035	739.217	22.841459	369.000000
Anogam_AGAP004679-RB	1593	1297.217	42.329011	1200.000000
Anogam_AGAP004680-RA	531	255.230	3.047799	17.000000
Anogam_AGAP004681-RA	411	162.755	0.843444	3.000000
Anogam_AGAP004682-RA	1650	1354.217	32.741986	969.000000
Anogam_AGAP028431-RA	315	104.278	26.328689	60.000000
Anogam_AGAP004683-RA	2208	1912.217	14.525164	607.000000
Anogam_AGAP004684-RA	441	183.928	291.574116	1172.000000
Anogam_AGAP004685-RA	3393	3097.217	13.414787	908.000000
Anogam_AGAP004686-RA	2703	2407.217	47.141782	2480.000000
Anogam_AGAP004687-RA	189	50.060	0.000000	0.000000
Anogam_AGAP028432-RA	3666	3370.217	0.339431	25.000000
Anogam_AGAP004688-RA	1023	727.217	0.062922	1.000000
Anogam_AGAP004689-RA	1836	1540.217	24.747573	833.000000
Anogam_AGAP004690-RA	414	164.754	58.324930	210.000000
Anogam_AGAP004691-RA	1857	1561.217	26.026707	888.000000
Anogam_AGAP028433-RA	13833	13537.217	17.888642	5292.211067
Anogam_AGAP004692-RA	5334	5038.217	31.578930	3477.000000
Anogam_AGAP004693-RA	3258	2962.217	0.710576	46.000000
Anogam_AGAP004694-RA	963	668.606	1.779396	26.000000
Anogam_AGAP028434-RA	1212	916.217	0.000000	0.000000
Anogam_AGAP028435-RA	336	115.688	10.507223	26.564728
Anogam_AGAP004695-RA	894	600.143	28.668342	376.000000
Anogam_AGAP004696-RA	1089	793.217	49.610759	860.000000
Anogam_AGAP004698-RA	1173	877.217	17.526762	336.000000
Anogam_AGAP004699-RA	2004	1708.217	10.741647	401.000000
Anogam_AGAP004700-RA	927	632.847	1.663026	23.000000
Anogam_AGAP004701-RA	4104	3808.217	0.588768	49.000000
Anogam_AGAP028436-RA	1740	1444.217	0.221786	7.000000
Anogam_AGAP004702-RA	723	432.064	0.317718	3.000000
Anogam_AGAP004703-RA	4140	3844.217	12.272141	1031.000000
Anogam_AGAP004704-RA	1446	1150.217	20.050271	504.000000
Anogam_AGAP028437-RA	2589	2293.217	10.535577	528.000000
Anogam_AGAP004706-RA	462	199.585	0.000000	0.000000
Anogam_AGAP004707-RI	6387	6091.217	0.398145	53.000000
Anogam_AGAP004708-RA	1992	1696.217	24.117131	894.000000
Anogam_AGAP004709-RA	519	245.142	94.450014	506.000000
Anogam_AGAP004710-RA	171	44.529	977.249095	951.000000
Anogam_AGAP004711-RA	1842	1546.217	2.988962	101.000000
Anogam_AGAP004712-RA	552	273.249	0.167460	1.000000
Anogam_AGAP004713-RA	390	148.765	3.897178	12.670112
Anogam_AGAP004714-RA	1470	1174.217	0.350723	9.000000
Anogam_AGAP004715-RA	2778	2482.217	16.664729	904.000000
Anogam_AGAP004716-RA	1365	1069.217	0.000000	0.000000
Anogam_AGAP004717-RB	1563	1267.217	0.036109	1.000000
Anogam_AGAP004718-RA	1176	880.217	0.103970	2.000000
